,0
1,1
7,2
11,3
12,4
14,5
15,6
19,7
20,8
24,9
25,10
28,11
30,12
36,13
37,14
38,15
43,16
44,17
45,18
46,19
49,20
51,21
54,22
56,23
58,24
69,25
165,26
168,27
195,28
395,29
414,30
461,31
536,32
938,33
1064,34
1186,35
1197,36
1421,37
1558,38
1588,39
1656,40
2385,41
2688,42
2915,43
2928,44
2929,45
2930,46
2935,47
2937,48
2938,49
1000003,50
1000004,51
1000006,52
1000007,53
1000008,54
1000009,55
1000010,56
1000011,57
1000012,58
1000013,59
1000014,60
1000015,61
1000016,62
1000017,63
1000018,64
1000019,65
1000020,66
1000021,67
1000022,68
1000023,69
1000024,70
1000025,71
1000026,72
1000027,73
1000028,74
1000029,75
1000030,76
1000031,77
1000032,78
1000033,79
1000034,80
1000035,81
1000036,82
1000037,83
1000038,84
1000039,85
1000040,86
1000041,87
1000042,88
1000043,89
1000044,90
1000045,91
1000046,92
1000047,93
1000048,94
1000049,95
1000051,96
1000052,97
1000053,98
1000054,99
1000055,100
1000056,101
1000057,102
1000058,103
1000059,104
1000060,105
1000061,106
1000062,107
1000063,108
1000064,109
1000065,110
1000066,111
1000067,112
1000068,113
1000069,114
1000070,115
1000071,116
1000072,117
1000073,118
1000074,119
1000075,120
1000078,121
1000079,122
1000080,123
1000081,124
1000082,125
1000083,126
1000084,127
1000085,128
1000086,129
1000087,130
1000088,131
1000089,132
1000090,133
1000091,134
1000092,135
1000093,136
1000094,137
1000095,138
1000096,139
1000097,140
1000099,141
1000100,142
1000101,143
1000102,144
1000103,145
1000104,146
1000105,147
1000106,148
1000107,149
1000108,150
1000109,151
1000110,152
1000111,153
1000112,154
1000113,155
1000114,156
1000115,157
1000116,158
1000117,159
1000118,160
1000119,161
1000120,162
1000121,163
1000122,164
1000123,165
1000124,166
1000125,167
1000126,168
1000127,169
1000128,170
1000129,171
1000130,172
1000131,173
1000132,174
1000133,175
1000135,176
1000136,177
1000137,178
1000138,179
1000139,180
1000140,181
1000141,182
1000142,183
1000143,184
1000144,185
1000145,186
1000146,187
1000147,188
1000148,189
1000149,190
1000150,191
1000151,192
1000152,193
1000153,194
1000154,195
1000155,196
1000156,197
1000157,198
1000158,199
1000159,200
1000160,201
1000161,202
1000162,203
1000163,204
1000164,205
1000165,206
1000166,207
1000167,208
1000168,209
1000169,210
1000170,211
1000171,212
1000172,213
1000173,214
1000174,215
1000175,216
1000176,217
1000177,218
1000178,219
1000179,220
1000180,221
1000181,222
1000182,223
1000183,224
1000184,225
1000185,226
1000186,227
1000187,228
1000188,229
1000189,230
1000190,231
1000191,232
1000192,233
1000193,234
1000194,235
1000195,236
1000196,237
1000197,238
1000198,239
1000199,240
1000200,241
1000201,242
1000202,243
1000203,244
1000204,245
1000206,246
1000207,247
1000208,248
1000210,249
1000211,250
1000212,251
1000214,252
1000215,253
1000216,254
1000217,255
1000218,256
1000219,257
1000220,258
1000221,259
1000222,260
1000225,261
1000226,262
1000227,263
1000228,264
1000229,265
1000230,266
1000231,267
1000232,268
1000233,269
1000234,270
1000235,271
1000236,272
1000237,273
1000238,274
1000239,275
1000240,276
1000241,277
1000242,278
1000243,279
1000244,280
1000245,281
1000246,282
1000247,283
1000248,284
1000249,285
1000250,286
1000251,287
1000252,288
1000253,289
1000254,290
1000255,291
1000256,292
1000257,293
1000258,294
1000259,295
1000260,296
1000261,297
1000262,298
1000263,299
1000264,300
1000265,301
1000266,302
1000267,303
1000269,304
1000270,305
1000271,306
1000272,307
1000273,308
1000274,309
1000275,310
1000276,311
1000277,312
1000278,313
1000279,314
1000280,315
1000282,316
1000283,317
1000284,318
1000285,319
1000286,320
1000287,321
1000288,322
1000289,323
1000290,324
1000291,325
1000292,326
1000293,327
1000294,328
1000295,329
1000296,330
1000297,331
1000298,332
1000299,333
