cliente_id;produto_id;quantidade;valor_total;data
1;2;1;192,9000;19/04/2023 00:00:00
1000003;51;1;19,5000;25/04/2023 00:00:00
1000003;50;1;28,0000;25/04/2023 00:00:00
1;1098;1;23,9000;02/05/2023 00:00:00
1000004;1477;1;15,0000;02/05/2023 00:00:00
1;716;1;5,5000;02/05/2023 00:00:00
1;111;1;5,5000;02/05/2023 00:00:00
1;1735;3;3,0000;02/05/2023 00:00:00
1;1414;2;2,0000;02/05/2023 00:00:00
1;1790;1;0,2500;02/05/2023 00:00:00
1;777;1;3,0000;02/05/2023 00:00:00
1;1305;1;296,7200;02/05/2023 00:00:00
1;1083;2;35,8000;02/05/2023 00:00:00
1;1;5;0,0500;02/05/2023 00:00:00
1;2;14;0,1401;02/05/2023 00:00:00
1;3;7;0,0700;02/05/2023 00:00:00
1;4;10;0,0999;02/05/2023 00:00:00
1;5;7;0,0701;02/05/2023 00:00:00
1;6;11;0,1101;02/05/2023 00:00:00
1;7;3;0,0300;02/05/2023 00:00:00
1;8;15;0,1499;02/05/2023 00:00:00
1;9;3;0,0300;02/05/2023 00:00:00
1;10;4;0,0400;02/05/2023 00:00:00
1;11;5;0,0500;02/05/2023 00:00:00
1;12;2;0,0200;02/05/2023 00:00:00
1;15;3;0,0300;02/05/2023 00:00:00
1;16;5;0,0500;02/05/2023 00:00:00
1;18;2;0,0200;02/05/2023 00:00:00
1;19;5;0,0500;02/05/2023 00:00:00
1;20;52;0,5200;02/05/2023 00:00:00
1;21;36;0,3600;02/05/2023 00:00:00
1;22;115;1,1500;02/05/2023 00:00:00
1;23;7;0,0700;02/05/2023 00:00:00
1;24;16;0,1600;02/05/2023 00:00:00
1;25;7;0,0700;02/05/2023 00:00:00
1;26;7;0,0700;02/05/2023 00:00:00
1;27;6;0,0600;02/05/2023 00:00:00
1;30;6;0,0600;02/05/2023 00:00:00
1;31;17;0,1700;02/05/2023 00:00:00
1;40;4;0,0400;02/05/2023 00:00:00
1;41;75;0,7500;02/05/2023 00:00:00
1;45;4;0,0400;02/05/2023 00:00:00
1;49;5;0,0500;02/05/2023 00:00:00
1;50;25;0,2500;02/05/2023 00:00:00
1;60;789;7,8900;02/05/2023 00:00:00
1;68;48;0,4799;02/05/2023 00:00:00
1;71;12;0,1200;02/05/2023 00:00:00
1;77;16;0,1600;02/05/2023 00:00:00
1;79;114;1,1400;02/05/2023 00:00:00
1;80;20;0,2000;02/05/2023 00:00:00
1;83;6;0,0600;02/05/2023 00:00:00
1;89;23;0,2300;02/05/2023 00:00:00
1;90;1;0,0100;02/05/2023 00:00:00
1;91;4972;49,7117;02/05/2023 00:00:00
1;92;4651;46,5022;02/05/2023 00:00:00
1;94;6;0,0600;02/05/2023 00:00:00
1;100;103;1,0300;02/05/2023 00:00:00
1;102;10;0,1000;02/05/2023 00:00:00
1;110;12;0,1200;02/05/2023 00:00:00
1;111;16;0,1600;02/05/2023 00:00:00
1;112;14;0,1400;02/05/2023 00:00:00
1;113;7;0,0700;02/05/2023 00:00:00
1;118;40;0,4000;02/05/2023 00:00:00
1;124;35;0,3500;02/05/2023 00:00:00
1;126;7;0,0700;02/05/2023 00:00:00
1;127;10;0,1000;02/05/2023 00:00:00
1;133;69;0,6900;02/05/2023 00:00:00
1;134;55;0,5500;02/05/2023 00:00:00
1;138;3;0,0300;02/05/2023 00:00:00
1;140;3;0,0300;02/05/2023 00:00:00
1;141;2;0,0200;02/05/2023 00:00:00
1;151;1;0,0100;02/05/2023 00:00:00
1;152;10;0,0999;02/05/2023 00:00:00
1;153;1;0,0100;02/05/2023 00:00:00
1;154;4;0,0400;02/05/2023 00:00:00
1;155;5;0,0500;02/05/2023 00:00:00
1;156;3;0,0300;02/05/2023 00:00:00
1;157;3;0,0300;02/05/2023 00:00:00
1;158;13;0,1300;02/05/2023 00:00:00
1;159;2;0,0200;02/05/2023 00:00:00
1;160;4;0,0400;02/05/2023 00:00:00
1;161;3;0,0299;02/05/2023 00:00:00
1;162;2;0,0200;02/05/2023 00:00:00
1;163;9;0,0900;02/05/2023 00:00:00
1;164;4;0,0400;02/05/2023 00:00:00
1;165;10;0,1000;02/05/2023 00:00:00
1;166;1;0,0100;02/05/2023 00:00:00
1;167;3;0,0300;02/05/2023 00:00:00
1;168;7;0,0700;02/05/2023 00:00:00
1;169;29;0,2900;02/05/2023 00:00:00
1;173;1;0,0100;02/05/2023 00:00:00
1;175;12;0,1201;02/05/2023 00:00:00
1;176;2;0,0200;02/05/2023 00:00:00
1;178;8;0,0800;02/05/2023 00:00:00
1;179;2;0,0200;02/05/2023 00:00:00
1;180;6;0,0600;02/05/2023 00:00:00
1;181;9;0,0900;02/05/2023 00:00:00
1;183;25;0,2501;02/05/2023 00:00:00
